@relation dataset
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute class numeric
@data
76, -62.625, -75.4, 146.125, 41.0075, -0.98875, 755.475, 385.05, -17.5, 854.7, 27889, 12.80741972, 41.41
120, -184.125, -26, 107.625, 50.25, -0.49125, 616.5, 349.5, -4.375, 742.1, 241081, 14.17744688, 37.92
120, -133.125, -19, 84.875, 36.25, -1.64125, 725.25, 435.5, -17.5, 62.7, 126025, 12.04159458, 44.03
156, -88.5, -157, 0, 48, 0, 729.45, 374.55, -56.25, 120.4, 55696, 13.85640646, 47.78
150, -140.25, -189.2, 0, 42.525, -1.2625, 694.575, 378.35, -4.375, 883.6, 139876, 13.04223907, 46.20
172, -61.875, -128.5, 115.5875, 43.765, -1.01, 754.35, 373.3, -8.75, 981.9, 27225, 13.23102415, 33.09
68, -117.75, -145.3, 99.05, 44.725, -1, 651.825, 345.1, -17.5, 678.7, 98596, 13.37535046, 46.23
124, -103.875, 0, 0, 47.75, 0, 726, 428, -1.875, 902.1, 76729, 13.82027496, 11.36
122, -117.3375, -160.5, 0, 44.4, -1.2, 687.45, 379.75, -17.5, 131.4, 97906.41, 13.326665, 52.45
202, -113.25, 0, 0, 50.75, 0, 730.5, 408.5, -17.5, 324.1, 91204, 14.24780685, 21.75
8, -110.625, 0, 0, 46.25, 0, 801.75, 384.5, -4.375, 2.4, 87025, 13.60147051, 14.80
50, -120.9375, -148.6, 0, 46.45, -1.0625, 713.25, 354.75, -17.5, 911.2, 104006.25, 13.63084737, 52.43
57, -130.875, 0, 0, 48, 0, 785.25, 403, -225, 7.9, 121801, 13.85640646, 42.13
126, -79.71375, 0, 87.84125, 39.8375, -1.29625, 752.85, 451.895, -35, 901.1, 45186.0049, 12.62339099, 44.40
56, -133.5, -119, 0, 40, -1.12875, 795.75, 328.5, -17.5, 59.8, 126736, 12.64911064, 59.00
52, -142.3125, -151.2, 0, 38.475, -1.9875, 850.725, 302.5, -17.5, 726.4, 144020.25, 12.40564388, 52.20
